514419 legal conditions loaded; global a5->C1 min 10.920 (grid01: {'a6': 'eq4', 'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e10': 0, 'e11': 4294967295}), max 12.677
conditions below 4 bits (WEAK candidates): 0
sweep                     bulk C1  bulk2 C1  numchk C1  numchk C0     C2     C3  cond
grid01                     10.920    10.946      11.12      1.939    0.0    0.0  {'a6': 'eq4', 'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e10': 0, 'e11': 4294967295}
grid01                     10.948    11.023     11.104      1.869   1.99    1.0  {'a6': 'eq4', 'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e10': 4294967295}
grid01                     10.950    10.953     10.949       1.93   1.87   1.95  {'a6': 'eq4', 'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e10': 4294967295, 'e11': 0}
grid01                     10.963    10.957     11.082       1.97    0.0   1.95  {'a6': 'eq4', 'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e10': 0, 'e11': 0}
grid01                     10.965    10.950     10.821      1.931    0.0   0.98  {'a6': 'eq4', 'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e10': 0}
grid01                     10.966    10.978     11.024       1.99   0.91   1.94  {'a6': 'eq4', 'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e11': 0}
grid01                     10.978    10.967     10.914      1.964   1.92    0.0  {'a6': 'eq4', 'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e10': 4294967295, 'e11': 4294967295}
struct4                    10.992    11.209     11.257      1.115   0.88   0.96  {'a7': 'eq6', 'e8': 4294967294, 'c9': 0, 'e10': 268439552, 'e11': 858993459}
grid01                     11.002    10.985      11.04      1.973    1.0   0.99  {'a6': 'eq4', 'a7': 'eq6', 'e8': 4294967295, 'c9': 0}
struct4                    11.012    11.182     11.093       0.98   1.03    1.5  {'a7': 'eq6', 'e8': 4294967295, 'c9': 2147483648, 'e10': 2863311530, 'e11': 2290649224}
struct4                    11.015    11.178     11.145      1.205   1.07   1.41  {'a7': 'eq6', 'e8': 2147483647, 'c9': 0, 'e10': 2290649224, 'e11': 2290649224}
struct4                    11.017    11.216      11.23      1.166   0.98   0.92  {'a7': 'eq6', 'e8': 4294967294, 'c9': 2147483648, 'e10': 2155905152, 'e11': 65535}
struct4                    11.022    11.193     11.166       1.01   0.97   1.85  {'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e10': 286331153, 'e11': 1}
struct4                    11.023    11.146      11.22      0.959   0.96   1.39  {'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e10': 16843009, 'e11': 252641280}
struct4                    11.023    11.154      11.18      0.973   0.92   1.72  {'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e10': 0, 'e11': 2155905152}
struct4                    11.026    11.131     11.186      1.155   0.97   1.47  {'a7': 'eq6', 'e8': 2147483647, 'c9': 0, 'e10': 0, 'e11': 286331153}
struct4                    11.027    11.150     11.131      0.966   0.91   0.98  {'a7': 'eq6', 'e8': 4294967295, 'c9': 2147483648, 'e10': 252641280, 'e11': 4278255360}
struct4                    11.030    11.187     11.152      1.228   0.91   1.92  {'a7': 'eq6', 'e8': 4294967294, 'c9': 2147483648, 'e10': 2147483648, 'e11': 1}
struct4                    11.031    11.172     10.985       1.03   0.97   1.41  {'a7': 'eq6', 'e8': 4294967295, 'c9': 2147483648, 'e10': 2863311530, 'e11': 252641280}
grid01                     11.032    11.002     11.148      1.917    1.0    0.0  {'a6': 'eq4', 'a7': 'eq6', 'e8': 4294967295, 'c9': 0, 'e11': 4294967295}
struct4                    12.464    12.431     12.635      5.107   0.92    0.0  {'a7': 'eq6', 'e8': 3435973836, 'c9': 2863311530, 'e10': 0, 'e11': 4294967295}
sweep_e10                  12.047    11.996     12.005      0.959   1.42   1.92  {'a7': 'eq6', 'e8': 4294967295, 'e11': 0, 'e10': 1987475062}
struct4                    11.909    11.844     11.805      1.017   1.13   0.98  {'a7': 'eq6', 'e8': 4294967295, 'c9': 2290649224, 'e10': 252641280, 'e11': 65535}
struct4                    11.613    11.704     11.689       4.48   1.17   1.56  {'a7': 'eq6', 'e8': 4042322160, 'c9': 4278255360, 'e10': 3435973836, 'e11': 2290649224}
struct4                    11.812    11.851     11.717       6.29   0.98   1.89  {'a7': 'eq6', 'e8': 1, 'c9': 4278255360, 'e10': 2155905152, 'e11': 0}
struct4                    11.591    11.577     11.641       5.21   1.11   0.97  {'a7': 'eq6', 'e8': 858993459, 'c9': 65535, 'e10': 3435973836, 'e11': 4278255360}
struct4                    12.490    12.462      12.41      6.024   1.34   1.55  {'a7': 'eq6', 'e8': 1431655765, 'c9': 2863311530, 'e10': 252645135, 'e11': 252641280}
struct4                    11.987    11.963     11.856      1.164    0.9   1.03  {'a7': 'eq6', 'e8': 2147483647, 'c9': 1116352408, 'e10': 4294901760, 'e11': 65535}
struct4                    11.903    11.900     11.662      5.463   1.02   1.25  {'a7': 'eq6', 'e8': 252641280, 'c9': 16843009, 'e10': 268439552, 'e11': 2863311530}
